Tick,Date,Close,Vol_1M,Mkt_Cap,P2B,D2E,Prof_Marg,ESG_rank
AAPL,2020-10-30,108.51,43.816,1850816.166,28.1938,187.144,19.5879,76.744
AAPL,2020-11-30,118.872,35.693,2024064.528,30.8861,187.144,19.5879,77.143
AAPL,2020-12-31,132.492,27.8,2255969.107,33.6577,169.1879,25.8034,77.465
AAPL,2021-01-29,131.763,35.286,2215357.148,33.4725,169.1879,25.8034,79.87
AAPL,2021-02-26,121.26,30.731,2035724.521,30.8044,169.1879,25.8034,79.87
BA,1999-12-31,26.747,34.88,37327.5621,2.0321,58.7332,4.3553,
BA,2000-01-31,28.724,39.552,40086.3111,2.1823,58.7332,4.3553,
BA,2000-02-29,23.924,50.104,33273.8902,1.8176,58.7332,4.3553,
BA,2000-03-31,24.491,49.948,32927.7684,1.7949,56.9633,4.218,
BA,2000-04-28,25.705,50.16,34560.5503,1.8839,56.9633,4.218,
BA,2000-05-31,25.393,47.215,35435.4644,1.861,56.9633,4.218,
BA,2000-06-30,27.181,34.655,37930.1211,1.96,54.6933,4.1776,
BA,2000-07-31,31.731,22.475,44020.5628,2.2881,54.6933,4.1776,
BA,2000-08-31,34.971,35.372,48129.9053,2.5217,54.6933,4.1776,
BA,2000-09-29,42.051,36.778,57873.6525,2.9588,54.6933,4.1776,
BA,2000-10-31,44.21,52.395,60845.8459,3.1108,63.9595,5.1276,
BA,2000-11-30,45.122,37.249,61358.5284,3.1749,63.9595,5.1276,
BA,2000-12-29,43.121,47.23,58637.6525,3.2725,63.9595,5.1276,
BA,2001-01-31,38.221,39.747,48925.2274,2.9007,79.8457,3.2737,
BA,2001-02-28,40.761,34.798,52019.6435,3.0934,79.8457,3.2737,
BA,2001-03-30,36.508,46.455,48694.1205,2.495,79.8457,3.2737,
BA,2001-04-30,40.498,33.123,51602.9811,2.7677,72.7154,9.3056,
BA,2001-05-31,41.321,22.778,54863.9171,2.824,72.7154,9.3056,
BA,2001-06-29,36.532,31.933,48504.274,2.5857,72.7154,9.3056,
BA,2001-07-31,38.457,32.261,47621.1783,2.722,92.0149,5.4138,
BA,2001-08-31,33.743,25.613,41272.0375,2.3884,92.0149,5.4138,
BA,2001-09-28,22.078,78.944,27004.1652,1.5585,92.0149,5.4138,
BA,2001-10-31,21.485,60.784,26013.8947,1.5166,102.9417,4.7494,
BA,2001-11-30,23.25,49.712,28008.8252,1.6412,102.9417,4.7494,
BA,2001-12-31,25.688,22.994,30945.363,1.9876,113.3025,0.6369,
BA,2002-01-31,27.125,28.119,32676.9628,2.0988,113.3025,0.6369,
BA,2002-02-28,30.571,23.148,36674.8036,2.3654,113.3025,0.6369,
BA,2002-03-29,32.094,33.751,38517.6917,2.6288,113.3025,0.6369,
BA,2002-04-30,29.666,38.642,35636.1595,2.43,132.0209,-9.037,
BA,2002-05-31,28.476,30.267,34078.0841,2.3325,132.0209,-9.037,
BA,2002-06-28,30.045,28.944,35955.7745,2.308,132.0209,-9.037,
BA,2002-07-31,27.721,45.059,33175.1946,2.1295,126.4757,5.6221,
BA,2002-08-30,24.864,45.063,29629.1862,1.91,126.4757,5.6221,
BA,2002-09-30,22.892,40.861,27279.3128,1.678,124.7822,2.9314,
BA,2002-10-31,19.954,53.035,23776.3166,1.4627,124.7822,2.9314,
BA,2002-11-29,22.961,49.438,27217.5653,1.6831,124.7822,2.9314,
BA,2002-12-31,22.247,29.302,26370.2637,2.3116,187.1492,4.3081,
BA,2003-01-31,21.302,26.152,25261.1969,2.2135,187.1492,4.3081,
BA,2003-02-28,18.687,27.674,22047.3961,1.9416,187.1492,4.3081,
BA,2003-03-31,16.991,35.267,20047.4509,1.8664,206.0406,-3.8995,
BA,2003-04-30,18.497,34.79,21823.4023,2.0317,206.0406,-3.8995,
BA,2003-05-30,20.916,35.073,24540.2755,2.2974,206.0406,-3.8995,
BA,2003-06-30,23.405,34.594,27460.7844,2.6882,209.4172,-1.5098,
BA,2003-07-31,22.586,22.753,26499.2829,2.5942,209.4172,-1.5098,
BA,2003-08-29,25.632,23.507,29918.0864,2.944,209.4172,-1.5098,
BA,2003-09-30,23.534,23.522,27469.5883,2.5619,202.3129,2.1011,
BA,2003-10-31,26.386,26.666,30800.3187,2.8723,202.3129,2.1011,
BA,2003-11-28,26.435,27.369,30720.2971,2.8776,202.3129,2.1011,
BA,2003-12-31,29.017,21.289,33721.1075,2.8531,177.4542,8.5667,
BA,2004-01-30,28.748,19.648,33409.0232,2.8267,177.4542,8.5667,
BA,2004-02-27,29.98,24.19,34705.3734,2.9479,177.4542,8.5667,
BA,2004-03-31,28.39,22.038,32907.1194,2.5691,158.291,4.8283,
BA,2004-04-30,29.51,23.353,35993.272,2.6705,158.291,4.8283,
BA,2004-05-31,31.808,24.206,38615.4101,2.8784,158.291,4.8283,
BA,2004-06-30,35.482,20.683,43075.5743,3.1679,152.6316,4.6378,
BA,2004-07-30,35.246,21.169,40548.615,3.1468,152.6316,4.6378,
BA,2004-08-31,36.413,22.637,41723.1266,3.2511,152.6316,4.6378,
BA,2004-09-30,35.995,20.311,41243.7341,3.0208,129.6374,3.4672,
BA,2004-10-29,34.796,19.043,41895.8713,2.9201,129.6374,3.4672,
BA,2004-11-30,37.499,16.994,44977.1909,3.147,129.6374,3.4672,
BA,2004-12-31,36.239,16.365,43465.9169,2.5469,108.0985,1.397,
BA,2005-01-31,35.42,21.422,42483.5889,2.4894,108.0985,1.397,
BA,2005-02-28,38.659,21.09,46152.6261,2.7171,108.0985,1.397,
BA,2005-03-31,41.114,23.682,46383.6355,2.8191,102.6311,4.2189,
BA,2005-04-29,41.859,24.13,49182.9192,2.8702,102.6311,4.2189,
BA,2005-05-31,45.125,22.684,52802.2268,3.0941,102.6311,4.2189,
BA,2005-06-30,46.608,30.05,54537.5112,3.2671,99.1017,3.8545,
BA,2005-07-29,46.615,27.734,51593.503,3.2676,99.1017,3.8545,
BA,2005-08-31,47.505,16.606,52382.9204,3.33,99.1017,3.8545,
BA,2005-09-30,48.164,21.184,53109.8096,3.9388,115.2711,8.1829,
BA,2005-10-31,45.818,25.61,49660.6703,3.7469,115.2711,8.1829,
BA,2005-11-30,48.519,22.73,52388.0122,3.9678,115.2711,8.1829,
BA,2005-12-30,49.977,16.876,53962.9561,3.4372,115.2711,8.1829,
BA,2006-01-31,48.604,18.113,52480.204,3.3427,96.9979,3.3091,
BA,2006-02-28,51.938,21.877,55286.3219,3.572,96.9979,3.3091,
BA,2006-03-31,55.682,15.698,62374.137,3.6771,95.7194,4.8514,
BA,2006-04-28,59.627,17.566,66724.8862,3.9376,95.7194,4.8514,
BA,2006-05-31,59.687,22.82,66564.9704,3.9416,95.7194,4.8514,
BA,2006-06-30,58.726,31.655,65493.5342,4.2982,100.8873,-1.0677,
